Year,Month,State,City,AVG_Precip_Percentile
2006,January,MD,Adelphi,0.008978376814786042
2006,February,MD,Adelphi,0.011565272977336805
2006,March,MD,Adelphi,0.01039275199449747
2006,April,MD,Adelphi,0.019989616382322918
2006,May,MD,Adelphi,0.04486625923462688
2006,June,MD,Adelphi,0.040357745540576084
2006,July,MD,Adelphi,0.03863858873608067
2006,August,MD,Adelphi,0.0314444807095902
2006,September,MD,Adelphi,0.028156338499874645
2006,October,MD,Adelphi,0.022044125553940353
2006,November,MD,Adelphi,0.009965854713274018
2006,December,MD,Adelphi,0.018083145171160313
2007,January,MD,Adelphi,0.012913366461523518
2007,February,MD,Adelphi,0.006304801019297169
2007,March,MD,Adelphi,0.011079387700990437
2007,April,MD,Adelphi,0.015497438448517201
2007,May,MD,Adelphi,0.03577422683263595
2007,June,MD,Adelphi,0.041764305758669296
2007,July,MD,Adelphi,0.048919204425818895
2007,August,MD,Adelphi,0.038830940240146224
2007,September,MD,Adelphi,0.01562455147580676
2007,October,MD,Adelphi,0.01685763042139398
2007,November,MD,Adelphi,0.01716382362466761
2007,December,MD,Adelphi,0.016853773413704372
2008,January,MD,Adelphi,0.011574053099540899
2008,February,MD,Adelphi,0.00860019883559506
2008,March,MD,Adelphi,0.01956584895271694
2008,April,MD,Adelphi,0.02529517055198216
2008,May,MD,Adelphi,0.04595066261710468
2008,June,MD,Adelphi,0.04418587255874521
2008,July,MD,Adelphi,0.04188109213694264
2008,August,MD,Adelphi,0.04426240694475506
2008,September,MD,Adelphi,0.023280801128232217
2008,October,MD,Adelphi,0.02110987811137399
2008,November,MD,Adelphi,0.01863496730006507
2008,December,MD,Adelphi,0.021437334903062953
2009,January,MD,Adelphi,0.014044249052047224
2009,February,MD,Adelphi,0.011902765195715644
2009,March,MD,Adelphi,0.010485367626358575
2009,April,MD,Adelphi,0.020824590064167783
2009,May,MD,Adelphi,0.04176808949551169
2009,June,MD,Adelphi,0.03529828721462474
2009,July,MD,Adelphi,0.03354430860803061
2009,August,MD,Adelphi,0.04017405984723871
2009,September,MD,Adelphi,0.013053894900766506
2009,October,MD,Adelphi,0.0173652507288471
2009,November,MD,Adelphi,0.01829073529942863
2009,December,MD,Adelphi,0.014665532438718978
2010,January,MD,Adelphi,0.009057834841913614
2010,February,MD,Adelphi,0.008917714959404629
2010,March,MD,Adelphi,0.012431049884133294
2010,April,MD,Adelphi,0.03343114923682541
2010,May,MD,Adelphi,0.05797120865449394
2010,June,MD,Adelphi,0.03408896259034613
2010,July,MD,Adelphi,0.04116814000444392
2010,August,MD,Adelphi,0.028920239912246008
2010,September,MD,Adelphi,0.026101084003807132
2010,October,MD,Adelphi,0.01690399506303178
2010,November,MD,Adelphi,0.0236414987103069
2010,December,MD,Adelphi,0.018252140230546526
2011,January,MD,Adelphi,0.008431021171681177
2011,February,MD,Adelphi,0.011195968203398497
2011,March,MD,Adelphi,0.014985001132431838
2011,April,MD,Adelphi,0.022133313786316874
2011,May,MD,Adelphi,0.03270853296017809
2011,June,MD,Adelphi,0.03591918438162832
2011,July,MD,Adelphi,0.033758608857513486
2011,August,MD,Adelphi,0.03420733730661153
2011,September,MD,Adelphi,0.02548496147331873
2011,October,MD,Adelphi,0.018856631637703875
2011,November,MD,Adelphi,0.013290791053674459
2011,December,MD,Adelphi,0.014097469803857302
2012,January,MD,Adelphi,0.00835365637256972
2012,February,MD,Adelphi,0.01238541253524121
2012,March,MD,Adelphi,0.01467524178470311
2012,April,MD,Adelphi,0.0227160627569616
2012,May,MD,Adelphi,0.04319920074517484
2012,June,MD,Adelphi,0.032130933887517234
2012,July,MD,Adelphi,0.04204679392196023
2012,August,MD,Adelphi,0.05441988121985776
2012,September,MD,Adelphi,0.024903896104593298
2012,October,MD,Adelphi,0.017730037851290674
2012,November,MD,Adelphi,0.018411704258534837
2012,December,MD,Adelphi,0.020258643621647823
2013,January,MD,Adelphi,0.009967165192162527
2013,February,MD,Adelphi,0.008394435099610504
2013,March,MD,Adelphi,0.012695312530724352
2013,April,MD,Adelphi,0.01608132814256517
2013,May,MD,Adelphi,0.03947740541067521
2013,June,MD,Adelphi,0.022601222726922693
2013,July,MD,Adelphi,0.04363121502316835
2013,August,MD,Adelphi,0.03509820804163373
2013,September,MD,Adelphi,0.029000009044108356
2013,October,MD,Adelphi,0.022773369785375603
2013,November,MD,Adelphi,0.019033221038785526
2013,December,MD,Adelphi,0.024207701556481078
2014,January,MD,Adelphi,0.00813563840850071
2014,February,MD,Adelphi,0.007231012367293098
2014,March,MD,Adelphi,0.013056136845744875
2014,April,MD,Adelphi,0.019423529473896334
2014,May,MD,Adelphi,0.04961139614273077
2014,June,MD,Adelphi,0.021607014585417156
2014,July,MD,Adelphi,0.03425187856868276
2014,August,MD,Adelphi,0.03919998883025897
2014,September,MD,Adelphi,0.02760928621686048
2014,October,MD,Adelphi,0.0157642863036819
2014,November,MD,Adelphi,0.012881173287035096
2014,December,MD,Adelphi,0.016525034300472866
2015,January,MD,Adelphi,0.006224337466841804
2015,February,MD,Adelphi,0.008712793866360872
2015,March,MD,Adelphi,0.015719218432429214
2015,April,MD,Adelphi,0.025152480329258035
2015,May,MD,Adelphi,0.04222118660752147
2015,June,MD,Adelphi,0.03769516674058141
2015,July,MD,Adelphi,0.046515612453758196
2015,August,MD,Adelphi,0.044773633761117475
2015,September,MD,Adelphi,0.01930043158504673
2015,October,MD,Adelphi,0.012304791174872872
2015,November,MD,Adelphi,0.010477446312557953
2015,December,MD,Adelphi,0.02277158461297875
2016,January,MD,Adelphi,0.007880115553612153
2016,February,MD,Adelphi,0.0065568452500208525
2016,March,MD,Adelphi,0.018066327633687457
2016,April,MD,Adelphi,0.01781411566909648
2016,May,MD,Adelphi,0.04759365657680424
2016,June,MD,Adelphi,0.04059834298968944
2016,July,MD,Adelphi,0.058074960774927756
2016,August,MD,Adelphi,0.04316448285239823
2016,September,MD,Adelphi,0.02059789984643443
2016,October,MD,Adelphi,0.023122593999233033
2016,November,MD,Adelphi,0.02045435380888972
2016,December,MD,Adelphi,0.02523423486836057
2017,January,MD,Adelphi,0.004827084343973586
2017,February,MD,Adelphi,0.011133216666032826
2017,March,MD,Adelphi,0.012484859631432426
2017,April,MD,Adelphi,0.027450886437106553
2017,May,MD,Adelphi,0.039628206247294115
2017,June,MD,Adelphi,0.03076103191837784
2017,July,MD,Adelphi,0.048960446058488025
2017,August,MD,Adelphi,0.04591413784212514
2017,September,MD,Adelphi,0.03142811974213423
2017,October,MD,Adelphi,0.013940563220311222
2017,November,MD,Adelphi,0.015876801593041882
2017,December,MD,Adelphi,0.018022591579664952
2018,January,MD,Adelphi,0.009550368460429236
2018,February,MD,Adelphi,0.009368227415289738
2018,March,MD,Adelphi,0.011180536803564503
2018,April,MD,Adelphi,0.024223415700563782
2018,May,MD,Adelphi,0.03639643649726868
2018,June,MD,Adelphi,0.019735555679750348
2018,July,MD,Adelphi,0.054997492380792753
2018,August,MD,Adelphi,0.025139896232164078
2018,September,MD,Adelphi,0.02073555768368958
2018,October,MD,Adelphi,0.009486407984296697
2018,November,MD,Adelphi,0.02081653598939734
2018,December,MD,Adelphi,0.018053888773990414
2019,January,MD,Adelphi,0.007594005504915452
2019,February,MD,Adelphi,0.01522744779975458
2019,March,MD,Adelphi,0.012172001989870732
2019,April,MD,Adelphi,0.024829951713897284
2019,May,MD,Adelphi,0.04497624629189299
2019,June,MD,Adelphi,0.03289635968673258
2019,July,MD,Adelphi,0.037032145363675814
2019,August,MD,Adelphi,0.03694669517802184
2019,September,MD,Adelphi,0.020698352207554303
2019,October,MD,Adelphi,0.012649447906050265
2019,November,MD,Adelphi,0.013231003015756875
2019,December,MD,Adelphi,0.017369506061167588
2020,January,MD,Adelphi,0.006806144405810015
2020,February,MD,Adelphi,0.009760830453549214
2020,March,MD,Adelphi,0.014420642367554774
2020,April,MD,Adelphi,0.023337419295934227
2020,May,MD,Adelphi,0.04195272728862043
2020,June,MD,Adelphi,0.036591089794376114
2020,July,MD,Adelphi,0.04348104163968053
2020,August,MD,Adelphi,0.0456638717878377
2020,September,MD,Adelphi,0.019733638902785972
2020,October,MD,Adelphi,0.015106108253272067
2020,November,MD,Adelphi,0.015363041735977653
2020,December,MD,Adelphi,0.021508069884597587
2021,January,MD,Adelphi,0.016907223561031654
2021,February,MD,Adelphi,0.007742816827756786
2021,March,MD,Adelphi,0.010798619802808716
2021,April,MD,Adelphi,0.020231317111171567
2021,May,MD,Adelphi,0.05419349626240941
2021,June,MD,Adelphi,0.035672530480149456
2021,July,MD,Adelphi,0.04366939027859312
2021,August,MD,Adelphi,0.040451353744850656
2021,September,MD,Adelphi,0.018432038376294504
2021,October,MD,Adelphi,0.01593395227609403
2021,November,MD,Adelphi,0.022160455599577227
2021,December,MD,Adelphi,0.016109609893715394
2022,January,MD,Adelphi,0.011765932444457769
2022,February,MD,Adelphi,0.01394224101533
2022,March,MD,Adelphi,0.016659251889488757
2022,April,MD,Adelphi,0.029502369679376625
2022,May,MD,Adelphi,0.0368589358039908
2022,June,MD,Adelphi,0.0563284892061147
2022,July,MD,Adelphi,0.05235544274181939
2022,August,MD,Adelphi,0.03835975909246817
2022,September,MD,Adelphi,0.016839525701115337
2022,October,MD,Adelphi,0.010049081375533335
2022,November,MD,Adelphi,0.016771098593301854
2022,December,MD,Adelphi,0.02029498427689328
2023,January,MD,Adelphi,0.01133563572687536
2023,February,MD,Adelphi,0.009181178168017548
2023,March,MD,Adelphi,0.018177340584959983
2023,April,MD,Adelphi,0.018858798674054017
2023,May,MD,Adelphi,0.041456509658646695
2023,June,MD,Adelphi,0.041154347195029625
2006,January,CA,Albany,0.024287726819801424
2006,February,CA,Albany,0.05499589922843805
2006,March,CA,Albany,0.016353121133666167
2006,April,CA,Albany,0.008491522472730105
2006,May,CA,Albany,0.0006901339377049874
2006,June,CA,Albany,0.0
2006,July,CA,Albany,0.0
2006,August,CA,Albany,0.0
2006,September,CA,Albany,0.0
2006,October,CA,Albany,0.002200738067120427
2006,November,CA,Albany,0.014334429751062432
2006,December,CA,Albany,0.01538134938860439
2007,January,CA,Albany,0.019000931474611217
2007,February,CA,Albany,0.04038196562643649
2007,March,CA,Albany,0.02189837329817741
2007,April,CA,Albany,0.008473982660877458
2007,May,CA,Albany,0.00014271129318558197
2007,June,CA,Albany,0.0
2007,July,CA,Albany,0.0
2007,August,CA,Albany,0.0
2007,September,CA,Albany,0.0
2007,October,CA,Albany,0.0028706233664598374
2007,November,CA,Albany,0.013603637658629203
2007,December,CA,Albany,0.018841308286818743
2008,January,CA,Albany,0.038094491753538795
2008,February,CA,Albany,0.056917216789352035
2008,March,CA,Albany,0.027830190417223327
2008,April,CA,Albany,0.007579156968530752
2008,May,CA,Albany,1.9096171105596046e-05
2008,June,CA,Albany,0.0
2008,July,CA,Albany,0.0
2008,August,CA,Albany,0.0
2008,September,CA,Albany,0.0
2008,October,CA,Albany,0.006157179918424064
2008,November,CA,Albany,0.01740917297284868
